"Notes","Month","Month Code","Infant Birth Weight 12","Infant Birth Weight 12 Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code","Month Prenatal Care Began","Month Prenatal Care Began Code",Deaths,Births,Death Rate
,"January","1","499 grams or less","01","Normal 18.5-24.9","2","No prenatal care","00",15,21,714.29 (Unreliable)
,"January","1","499 grams or less","01","Normal 18.5-24.9","2","2nd month","02",47,51,921.57
,"January","1","499 grams or less","01","Normal 18.5-24.9","2","3rd month","03",24,24,1000.00
,"January","1","499 grams or less","01","Normal 18.5-24.9","2","4th month","04",16,19,842.11 (Unreliable)
,"January","1","499 grams or less","01","Overweight 25.0-29.9","3","2nd month","02",28,36,777.78
,"January","1","499 grams or less","01","Overweight 25.0-29.9","3","3rd month","03",19,24,791.67 (Unreliable)
,"January","1","499 grams or less","01","Overweight 25.0-29.9","3","Unknown or Not Stated","99",12,14,857.14 (Unreliable)
,"January","1","499 grams or less","01","Obesity I 30.0-34.9","4","2nd month","02",25,30,833.33
,"January","1","499 grams or less","01","Obesity I 30.0-34.9","4","3rd month","03",28,34,823.53
,"January","1","499 grams or less","01","Obesity I 30.0-34.9","4","4th month","04",17,18,944.44 (Unreliable)
,"January","1","499 grams or less","01","Obesity II 35.0-39.9","5","2nd month","02",20,21,952.38
,"January","1","499 grams or less","01","Obesity II 35.0-39.9","5","3rd month","03",13,16,812.50 (Unreliable)
,"January","1","499 grams or less","01","Extreme Obesity III > 39.9","6","2nd month","02",14,17,823.53 (Unreliable)
,"January","1","499 grams or less","01","Extreme Obesity III > 39.9","6","3rd month","03",13,17,764.71 (Unreliable)
,"January","1","499 grams or less","01","Unknown or Not Stated","9","Unknown or Not Stated","99",14,17,823.53 (Unreliable)
,"January","1","500 - 999 grams","02","Normal 18.5-24.9","2","No prenatal care","00",21,52,403.85
,"January","1","500 - 999 grams","02","Normal 18.5-24.9","2","2nd month","02",32,157,203.82
,"January","1","500 - 999 grams","02","Normal 18.5-24.9","2","3rd month","03",32,112,285.71
,"January","1","500 - 999 grams","02","Normal 18.5-24.9","2","4th month","04",13,40,325.00 (Unreliable)
,"January","1","500 - 999 grams","02","Overweight 25.0-29.9","3","2nd month","02",20,119,168.07
,"January","1","500 - 999 grams","02","Overweight 25.0-29.9","3","3rd month","03",22,89,247.19
,"January","1","500 - 999 grams","02","Obesity I 30.0-34.9","4","2nd month","02",19,82,231.71 (Unreliable)
,"January","1","500 - 999 grams","02","Obesity I 30.0-34.9","4","3rd month","03",13,83,156.63 (Unreliable)
,"January","1","500 - 999 grams","02","Obesity II 35.0-39.9","5","2nd month","02",12,54,222.22 (Unreliable)
,"January","1","1500 - 1999 grams","04","Overweight 25.0-29.9","3","3rd month","03",12,393,30.53 (Unreliable)
,"January","1","2000 - 2499 grams","05","Normal 18.5-24.9","2","3rd month","03",10,1953,5.12 (Unreliable)
,"January","1","2000 - 2499 grams","05","Overweight 25.0-29.9","3","3rd month","03",12,1353,8.87 (Unreliable)
,"January","1","2500 - 2999 grams","06","Normal 18.5-24.9","2","2nd month","02",21,8457,2.48
,"January","1","2500 - 2999 grams","06","Normal 18.5-24.9","2","3rd month","03",16,7585,2.11 (Unreliable)
,"January","1","2500 - 2999 grams","06","Normal 18.5-24.9","2","4th month","04",11,2376,4.63 (Unreliable)
,"January","1","2500 - 2999 grams","06","Overweight 25.0-29.9","3","2nd month","02",15,5191,2.89 (Unreliable)
,"January","1","2500 - 2999 grams","06","Overweight 25.0-29.9","3","3rd month","03",13,5043,2.58 (Unreliable)
,"January","1","2500 - 2999 grams","06","Obesity I 30.0-34.9","4","2nd month","02",11,3234,3.40 (Unreliable)
,"January","1","3000 - 3499 grams","07","Normal 18.5-24.9","2","2nd month","02",15,16600,0.90 (Unreliable)
,"January","1","3000 - 3499 grams","07","Normal 18.5-24.9","2","3rd month","03",12,15255,0.79 (Unreliable)
,"January","1","3000 - 3499 grams","07","Overweight 25.0-29.9","3","2nd month","02",11,10989,1.00 (Unreliable)
,"January","1","3000 - 3499 grams","07","Overweight 25.0-29.9","3","3rd month","03",12,10364,1.16 (Unreliable)
,"January","1","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","2nd month","02",11,6781,1.62 (Unreliable)
,"January","1","3000 - 3499 grams","07","Obesity II 35.0-39.9","5","3rd month","03",12,3160,3.80 (Unreliable)
,"January","1","3500 - 3999 grams","08","Overweight 25.0-29.9","3","3rd month","03",10,7402,1.35 (Unreliable)
,"January","1","3500 - 3999 grams","08","Obesity I 30.0-34.9","4","2nd month","02",13,4822,2.70 (Unreliable)
,"February","2","499 grams or less","01","Normal 18.5-24.9","2","No prenatal care","00",13,17,764.71 (Unreliable)
,"February","2","499 grams or less","01","Normal 18.5-24.9","2","2nd month","02",26,34,764.71
,"February","2","499 grams or less","01","Normal 18.5-24.9","2","3rd month","03",25,30,833.33
,"February","2","499 grams or less","01","Overweight 25.0-29.9","3","No prenatal care","00",10,11,909.09 (Unreliable)
,"February","2","499 grams or less","01","Overweight 25.0-29.9","3","2nd month","02",31,35,885.71
,"February","2","499 grams or less","01","Overweight 25.0-29.9","3","3rd month","03",22,29,758.62
,"February","2","499 grams or less","01","Obesity I 30.0-34.9","4","2nd month","02",30,35,857.14
,"February","2","499 grams or less","01","Obesity I 30.0-34.9","4","3rd month","03",15,19,789.47 (Unreliable)
,"February","2","499 grams or less","01","Obesity II 35.0-39.9","5","2nd month","02",13,16,812.50 (Unreliable)
,"February","2","499 grams or less","01","Obesity II 35.0-39.9","5","3rd month","03",11,14,785.71 (Unreliable)
,"February","2","499 grams or less","01","Extreme Obesity III > 39.9","6","2nd month","02",18,20,900.00 (Unreliable)
,"February","2","499 grams or less","01","Extreme Obesity III > 39.9","6","3rd month","03",13,14,928.57 (Unreliable)
,"February","2","499 grams or less","01","Unknown or Not Stated","9","No prenatal care","00",12,13,923.08 (Unreliable)
,"February","2","500 - 999 grams","02","Normal 18.5-24.9","2","No prenatal care","00",10,41,243.90 (Unreliable)
,"February","2","500 - 999 grams","02","Normal 18.5-24.9","2","2nd month","02",13,103,126.21 (Unreliable)
,"February","2","500 - 999 grams","02","Normal 18.5-24.9","2","3rd month","03",22,91,241.76
,"February","2","500 - 999 grams","02","Normal 18.5-24.9","2","4th month","04",12,44,272.73 (Unreliable)
,"February","2","500 - 999 grams","02","Overweight 25.0-29.9","3","2nd month","02",21,103,203.88
,"February","2","500 - 999 grams","02","Overweight 25.0-29.9","3","3rd month","03",20,84,238.10
,"February","2","500 - 999 grams","02","Obesity I 30.0-34.9","4","2nd month","02",16,64,250.00 (Unreliable)
,"February","2","500 - 999 grams","02","Obesity I 30.0-34.9","4","3rd month","03",15,89,168.54 (Unreliable)
,"February","2","500 - 999 grams","02","Obesity II 35.0-39.9","5","2nd month","02",14,54,259.26 (Unreliable)
,"February","2","500 - 999 grams","02","Obesity II 35.0-39.9","5","3rd month","03",10,52,192.31 (Unreliable)
,"February","2","500 - 999 grams","02","Extreme Obesity III > 39.9","6","2nd month","02",13,52,250.00 (Unreliable)
,"February","2","1000 - 1499 grams","03","Normal 18.5-24.9","2","2nd month","02",11,183,60.11 (Unreliable)
,"February","2","1000 - 1499 grams","03","Overweight 25.0-29.9","3","2nd month","02",10,159,62.89 (Unreliable)
,"February","2","1500 - 1999 grams","04","Overweight 25.0-29.9","3","2nd month","02",10,351,28.49 (Unreliable)
,"February","2","2000 - 2499 grams","05","Normal 18.5-24.9","2","3rd month","03",13,1882,6.91 (Unreliable)
,"February","2","2000 - 2499 grams","05","Overweight 25.0-29.9","3","3rd month","03",15,1196,12.54 (Unreliable)
,"February","2","2500 - 2999 grams","06","Normal 18.5-24.9","2","2nd month","02",17,7294,2.33 (Unreliable)
,"February","2","2500 - 2999 grams","06","Normal 18.5-24.9","2","3rd month","03",17,7026,2.42 (Unreliable)
,"February","2","2500 - 2999 grams","06","Obesity I 30.0-34.9","4","3rd month","03",12,2820,4.26 (Unreliable)
,"February","2","3000 - 3499 grams","07","Normal 18.5-24.9","2","2nd month","02",15,14718,1.02 (Unreliable)
,"February","2","3000 - 3499 grams","07","Normal 18.5-24.9","2","3rd month","03",19,14319,1.33 (Unreliable)
,"February","2","3000 - 3499 grams","07","Overweight 25.0-29.9","3","2nd month","02",12,9882,1.21 (Unreliable)
,"February","2","3000 - 3499 grams","07","Overweight 25.0-29.9","3","3rd month","03",11,9809,1.12 (Unreliable)
,"February","2","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","3rd month","03",11,5907,1.86 (Unreliable)
,"February","2","3500 - 3999 grams","08","Normal 18.5-24.9","2","2nd month","02",11,8785,1.25 (Unreliable)
,"February","2","3500 - 3999 grams","08","Normal 18.5-24.9","2","3rd month","03",12,8919,1.35 (Unreliable)
,"February","2","3500 - 3999 grams","08","Overweight 25.0-29.9","3","2nd month","02",10,6942,1.44 (Unreliable)
,"March","3","499 grams or less","01","Normal 18.5-24.9","2","No prenatal care","00",15,16,937.50 (Unreliable)
,"March","3","499 grams or less","01","Normal 18.5-24.9","2","1st month","01",10,11,909.09 (Unreliable)
,"March","3","499 grams or less","01","Normal 18.5-24.9","2","2nd month","02",40,42,952.38
,"March","3","499 grams or less","01","Normal 18.5-24.9","2","3rd month","03",33,43,767.44
,"March","3","499 grams or less","01","Normal 18.5-24.9","2","4th month","04",16,20,800.00 (Unreliable)
,"March","3","499 grams or less","01","Overweight 25.0-29.9","3","2nd month","02",27,33,818.18
,"March","3","499 grams or less","01","Overweight 25.0-29.9","3","3rd month","03",34,42,809.52
,"March","3","499 grams or less","01","Obesity I 30.0-34.9","4","No prenatal care","00",10,10,1000.00 (Unreliable)
,"March","3","499 grams or less","01","Obesity I 30.0-34.9","4","2nd month","02",13,21,619.05 (Unreliable)
,"March","3","499 grams or less","01","Obesity I 30.0-34.9","4","3rd month","03",26,29,896.55
,"March","3","499 grams or less","01","Obesity II 35.0-39.9","5","No prenatal care","00",10,11,909.09 (Unreliable)
,"March","3","499 grams or less","01","Obesity II 35.0-39.9","5","2nd month","02",15,16,937.50 (Unreliable)
,"March","3","499 grams or less","01","Obesity II 35.0-39.9","5","3rd month","03",13,18,722.22 (Unreliable)
,"March","3","499 grams or less","01","Extreme Obesity III > 39.9","6","2nd month","02",13,14,928.57 (Unreliable)
,"March","3","499 grams or less","01","Extreme Obesity III > 39.9","6","3rd month","03",16,19,842.11 (Unreliable)
,"March","3","499 grams or less","01","Unknown or Not Stated","9","No prenatal care","00",13,14,928.57 (Unreliable)
,"March","3","499 grams or less","01","Unknown or Not Stated","9","Unknown or Not Stated","99",13,16,812.50 (Unreliable)
,"March","3","500 - 999 grams","02","Normal 18.5-24.9","2","No prenatal care","00",15,41,365.85 (Unreliable)
,"March","3","500 - 999 grams","02","Normal 18.5-24.9","2","2nd month","02",32,153,209.15
,"March","3","500 - 999 grams","02","Normal 18.5-24.9","2","3rd month","03",18,97,185.57 (Unreliable)
,"March","3","500 - 999 grams","02","Normal 18.5-24.9","2","4th month","04",19,64,296.88 (Unreliable)
,"March","3","500 - 999 grams","02","Overweight 25.0-29.9","3","No prenatal care","00",11,32,343.75 (Unreliable)
,"March","3","500 - 999 grams","02","Overweight 25.0-29.9","3","2nd month","02",26,117,222.22
,"March","3","500 - 999 grams","02","Overweight 25.0-29.9","3","3rd month","03",17,109,155.96 (Unreliable)
,"March","3","500 - 999 grams","02","Obesity I 30.0-34.9","4","2nd month","02",18,94,191.49 (Unreliable)
,"March","3","500 - 999 grams","02","Obesity I 30.0-34.9","4","3rd month","03",16,77,207.79 (Unreliable)
,"March","3","500 - 999 grams","02","Extreme Obesity III > 39.9","6","2nd month","02",18,61,295.08 (Unreliable)
,"March","3","500 - 999 grams","02","Extreme Obesity III > 39.9","6","3rd month","03",12,40,300.00 (Unreliable)
